{'ip': '37.209.192.9', 'other': 'REFUSED', 'type': '4'}
{'ip': '37.209.192.7', 'other': 'REFUSED', 'type': '4'}
{'ip': '37.209.192.6', 'other': 'REFUSED', 'type': '4'}
{'ip': '37.209.192.10', 'other': 'REFUSED', 'type': '4'}
{'ip': '37.209.192.5', 'other': 'REFUSED', 'type': '4'}
{'ip': '58.65.253.73', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '185.21.168.17', 'other': 'REFUSED', 'type': '4'}
{'ip': '185.21.169.17', 'other': 'REFUSED', 'type': '4'}
{'ip': '185.21.170.17', 'other': 'REFUSED', 'type': '4'}
{'ip': '194.146.106.50', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.158.17', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.24.17', 'other': 'REFUSED', 'type': '4'}
{'ip': '111.235.161.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '111.235.164.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '111.235.163.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '111.235.162.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.156.41', 'other': 'REFUSED', 'type': '4'}
{'ip': '125.208.32.1', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '125.208.40.1', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '42.83.134.1', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '103.61.62.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '199.115.152.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '103.61.60.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '199.115.154.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '199.115.155.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '37.209.198.9', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.132.25', 'other': 'REFUSED', 'type': '4'}
{'ip': '37.209.196.9', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.126.17', 'other': 'REFUSED', 'type': '4'}
{'ip': '103.61.61.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '103.61.63.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.214.25', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.8.240.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.8.241.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '125.208.33.1', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '65.22.134.25', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.8.243.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '203.119.28.1', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '1.8.242.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.64.33', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.124.17', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.132.9', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.130.25', 'other': 'REFUSED', 'type': '4'}
{'ip': '197.255.224.66', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '192.52.178.30', 'other': 'NOERROR', 'type': '4'}
{'ip': '185.27.90.101', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.158.127', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '128.139.34.240', 'other': 'NOERROR', 'type': '4'}
{'ip': '220.229.225.195', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.172.28', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.158.136', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '128.139.35.5', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '197.255.224.18', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '156.154.156.136', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.156.139', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.173.23', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.19.17', 'other': 'REFUSED', 'type': '4'}
{'ip': '81.192.171.140', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.157.136', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.202.9', 'other': 'REFUSED', 'type': '4'}
{'ip': '95.142.99.212', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.173.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.143.17', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.149.17', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.140.33', 'other': 'REFUSED', 'type': '4'}
{'ip': '81.192.171.139', 'other': 'REFUSED', 'type': '4'}
{'ip': '204.61.216.62', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '137.39.1.3', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '204.61.216.97', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '65.22.237.9', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.202.25', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.144.138', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.173.32', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.200.25', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.145.136', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '185.38.99.3', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.200.17', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.144.140', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '212.18.248.47', 'other': 'REFUSED', 'type': '4'}
{'ip': '81.192.171.131', 'other': 'REFUSED', 'type': '4'}
{'ip': '193.10.252.19', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '198.6.1.83', 'other': 'NOERROR', 'type': '4'}
{'ip': '156.154.159.139', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.144.141', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.145.138', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '43.230.49.30', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.145.139', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '199.254.60.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '212.18.249.38', 'other': 'REFUSED', 'type': '4'}
{'ip': '198.6.1.114', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.159.144', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.145.143', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.157.132', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.156.142', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.100.15', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.145.140', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '193.0.9.53', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '156.154.157.135', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.170.29', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.145.141', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.156.141', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.204.9', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.143.33', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.157.124', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.82.33', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.97.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.35.33', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.71.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '199.182.1.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.137.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.158.121', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.1.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.153.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '81.15.133.186', 'other': 'REFUSED', 'type': '4'}
{'ip': '193.0.9.98', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '156.154.172.33', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.78.17', 'other': 'REFUSED', 'type': '4'}
{'ip': '195.43.75.53', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '65.22.76.17', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.139.33', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.145.142', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.159.143', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '212.18.249.32', 'other': 'REFUSED', 'type': '4'}
{'ip': '194.0.25.23', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.174.24', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '194.169.218.12', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.159.25', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.159.142', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '195.123.1.7', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '199.254.52.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '204.61.216.107', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '156.154.173.24', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.173.40', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.157.127', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '185.24.64.67', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.179.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '200.62.64.1', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '81.228.10.57', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.144.144', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.169.35', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.144.123', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.168.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.172.40', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.159.148', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '193.0.9.100', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '65.22.168.9', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.171.33', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '119.81.34.90', 'other': 'REFUSED', 'type': '4'}
{'ip': '199.253.56.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '82.151.64.1', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '65.22.21.40', 'other': 'REFUSED', 'type': '4'}
{'ip': '72.42.113.5', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.210.25', 'other': 'REFUSED', 'type': '4'}
{'ip': '193.0.9.52', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '193.0.9.73', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '156.154.158.133', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.139.17', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.170.39', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.156.144', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.144.143', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '193.0.9.65', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '193.0.9.77', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '156.154.169.33', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '81.192.108.164', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '156.154.157.133', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.144.146', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '204.61.216.105', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '156.154.156.143', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.145.147', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.17.17', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.157.139', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.170.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.156.146', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '165.98.1.2', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '156.154.170.41', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '194.0.25.22', 'other': 'REFUSED', 'type': '4'}
{'ip': '193.0.9.96', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '65.22.142.9', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.171.35', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.39.25', 'other': 'REFUSED', 'type': '4'}
{'ip': '193.0.9.75', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '156.154.171.43', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.158.142', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '212.18.249.63', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.158.132', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '213.248.217.30', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.111.33', 'other': 'REFUSED', 'type': '4'}
{'ip': '200.9.187.2', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '65.22.194.9', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.145.148', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '193.0.9.4', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '194.171.17.15', 'other': 'REFUSED', 'type': '4'}
{'ip': '162.252.84.2', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.156.148', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '193.0.9.63', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '156.154.159.147', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.21.33', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.156.147', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.144.148', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '204.61.216.31', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '65.22.194.17', 'other': 'REFUSED', 'type': '4'}
{'ip': '199.19.54.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '43.230.49.31', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.169.41', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '200.9.190.130', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '193.0.9.60', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '156.154.172.43', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '194.169.218.61', 'other': 'REFUSED', 'type': '4'}
{'ip': '194.0.11.106', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.174.33', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.171.40', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.56.41', 'other': 'REFUSED', 'type': '4'}
{'ip': '213.248.221.31', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.158.138', 'other': 'SERVFAIL', 'type': '4'}
